,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure
8882,100300,21313,18512,12922,14950,1870,3874,32360,540,2715,3149,47070,76636,14592,2238,300,14184,0
8883,55212,15478,9646,7380,7172,1150,2347,11350,0,0,850,33438,4405,10080,3738,0,8100,0
8884,88031,18711,15652,8658,8354,1805,2123,14370,2580,4525,1850,22038,151,828,456,0,8934,0
8885,57358,18081,13104,10570,7464,1435,3643,3820,0,0,1700,48498,2179,1350,1404,0,7956,0
8886,74836,17850,15444,11991,6576,1662,3252,21120,0,0,3650,42612,335,22566,6240,0,17634,0
8887,148952,39080,27144,18888,9014,1720,4578,60050,0,3620,6050,61890,15913,43512,4158,35225,30186,0
8888,143087,24195,16588,15408,7068,1740,1929,75520,1080,0,8320,45402,95,34026,9102,0,49104,0
8889,84371,15069,10448,11120,8380,1290,3668,27030,0,0,10273,42174,1422,17292,2760,2615,17778,1000
8890,156505,38190,33852,27240,7034,1295,4765,39490,1235,7240,4130,53880,2067,19926,5820,10850,25326,3500
8891,133424,25563,15560,23510,8028,1184,4485,43810,0,0,6395,52170,8907,12600,3408,0,17364,0
8892,49900,14138,10556,4434,3022,940,690,16730,1616,2192,2120,17772,680,8418,1818,0,4026,0
8893,52158,8364,4360,6076,3744,1385,1902,20930,0,0,2950,33768,1179,12438,3168,0,14946,0
8894,116612,30295,18486,14666,6780,1330,1755,27920,1254,5596,12500,30960,332,6948,1248,600,15786,0
8895,146823,33038,26260,20178,11456,2915,3655,48730,0,0,7000,208398,880,19584,31704,0,29580,0
8896,140106,43306,25954,12120,12720,3836,4495,18960,348,5792,1300,57300,1923,10404,15108,15090,20196,0
8897,76778,19573,13842,2873,11228,1497,2408,18720,0,4163,3250,53976,30,3018,2460,0,7524,0
8898,43402,3903,97,0,0,1220,420,35324,0,0,1240,26610,553,384,0,0,1086,0
8899,178181,19806,10400,24422,10560,12124,12230,73600,0,0,11550,90906,5700,93852,46800,0,54966,0
8900,66318,22807,12920,11010,8600,3329,5109,200,1124,0,1200,87060,2380,3330,6600,0,7194,0
8901,100207,27000,20800,14144,4846,710,2270,39660,3770,12670,2530,28530,150,27120,2340,1160,16500,500
8902,117831,38498,26780,19934,15344,2380,4205,21540,1350,5973,6500,46998,3712,58614,4398,0,23136,0
